Id,ActivityHour,Calories
1503960366,3/12/16 0:00,48
1503960366,3/12/16 1:00,48
1503960366,3/12/16 2:00,48
1503960366,3/12/16 3:00,48
1503960366,3/12/16 4:00,48
1503960366,3/12/16 5:00,48
1503960366,3/12/16 6:00,48
1503960366,3/12/16 7:00,48
1503960366,3/12/16 8:00,48
1503960366,3/12/16 9:00,49
1503960366,3/12/16 10:00,89
1503960366,3/12/16 11:00,134
1503960366,3/12/16 12:00,130
1503960366,3/12/16 13:00,81
1503960366,3/12/16 14:00,254
1503960366,3/12/16 15:00,271
1503960366,3/12/16 16:00,141
1503960366,3/12/16 17:00,104
1503960366,3/12/16 18:00,54
1503960366,3/12/16 19:00,97
1503960366,3/12/16 20:00,58
1503960366,3/12/16 21:00,100
1503960366,3/12/16 22:00,123
1503960366,3/12/16 23:00,111
1503960366,3/13/16 0:00,55
1503960366,3/13/16 1:00,48
1503960366,3/13/16 2:00,50
1503960366,3/13/16 3:00,48
1503960366,3/13/16 4:00,48
1503960366,3/13/16 5:00,48
1503960366,3/13/16 6:00,48
1503960366,3/13/16 7:00,49
1503960366,3/13/16 8:00,49
1503960366,3/13/16 9:00,56
1503960366,3/13/16 10:00,189
1503960366,3/13/16 11:00,270
1503960366,3/13/16 12:00,52
1503960366,3/13/16 13:00,66
1503960366,3/13/16 14:00,57
1503960366,3/13/16 15:00,89
1503960366,3/13/16 16:00,91
1503960366,3/13/16 17:00,61
1503960366,3/13/16 18:00,237
1503960366,3/13/16 19:00,146
1503960366,3/13/16 20:00,87
1503960366,3/13/16 21:00,66
1503960366,3/13/16 22:00,72
1503960366,3/13/16 23:00,118
1503960366,3/14/16 0:00,56
1503960366,3/14/16 1:00,54
1503960366,3/14/16 2:00,49
1503960366,3/14/16 3:00,48
1503960366,3/14/16 4:00,48
1503960366,3/14/16 5:00,49
1503960366,3/14/16 6:00,48
1503960366,3/14/16 7:00,53
1503960366,3/14/16 8:00,68
1503960366,3/14/16 9:00,199
1503960366,3/14/16 10:00,59
1503960366,3/14/16 11:00,72
1503960366,3/14/16 12:00,66
1503960366,3/14/16 13:00,54
1503960366,3/14/16 14:00,59
1503960366,3/14/16 15:00,71
1503960366,3/14/16 16:00,68
1503960366,3/14/16 17:00,76
1503960366,3/14/16 18:00,96
1503960366,3/14/16 19:00,100
1503960366,3/14/16 20:00,124
1503960366,3/14/16 21:00,67
1503960366,3/14/16 22:00,48
1503960366,3/14/16 23:00,198
1503960366,3/15/16 0:00,56
1503960366,3/15/16 1:00,55
1503960366,3/15/16 2:00,54
1503960366,3/15/16 3:00,48
1503960366,3/15/16 4:00,49
1503960366,3/15/16 5:00,48
1503960366,3/15/16 6:00,49
1503960366,3/15/16 7:00,49
1503960366,3/15/16 8:00,91
1503960366,3/15/16 9:00,148
1503960366,3/15/16 10:00,92
1503960366,3/15/16 11:00,104
1503960366,3/15/16 12:00,142
1503960366,3/15/16 13:00,77
1503960366,3/15/16 14:00,107
1503960366,3/15/16 15:00,77
1503960366,3/15/16 16:00,96
1503960366,3/15/16 17:00,90
1503960366,3/15/16 18:00,82
1503960366,3/15/16 19:00,75
1503960366,3/15/16 20:00,207
1503960366,3/15/16 21:00,131
1503960366,3/15/16 22:00,108
1503960366,3/15/16 23:00,76
1503960366,3/16/16 0:00,48
1503960366,3/16/16 1:00,48
1503960366,3/16/16 2:00,50
1503960366,3/16/16 3:00,48
1503960366,3/16/16 4:00,48
1503960366,3/16/16 5:00,49
1503960366,3/16/16 6:00,48
1503960366,3/16/16 7:00,56
1503960366,3/16/16 8:00,91
1503960366,3/16/16 9:00,125
1503960366,3/16/16 10:00,73
1503960366,3/16/16 11:00,105
1503960366,3/16/16 12:00,124
1503960366,3/16/16 13:00,79
1503960366,3/16/16 14:00,61
1503960366,3/16/16 15:00,86
1503960366,3/16/16 16:00,103
